experiment,scheme,traffic_pattern,run_id,flow_id,received_bytes,start_time_s,completion_time_s,fct_s,completed
v2-main-electrical-only,electrical-only,community-local,1,99,50000,0.0505,0.05129608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,100,50000,0.051,0.05179608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,101,50000,0.0515,0.05229608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,102,50000,0.052,0.05279608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,103,50000,0.0525,0.05329608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,104,50000,0.053,0.05379608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,105,50000,0.0535,0.05429608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,106,50000,0.054,0.05479608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,107,50000,0.0545,0.05529608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,108,50000,0.055,0.05579608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,109,50000,0.0555,0.05629608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,110,50000,0.056,0.05679608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,111,50000,0.0565,0.05729608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,112,50000,0.057,0.05779608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,113,50000,0.0575,0.05829608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,114,50000,0.058,0.05879608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,115,50000,0.0585,0.05929608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,116,50000,0.059,0.05979608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,117,50000,0.0595,0.06029608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,118,50000,0.06,0.06079608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,119,50000,0.0605,0.06129608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,120,50000,0.061,0.06179608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,121,50000,0.0615,0.06229608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,122,50000,0.062,0.06279608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,123,50000,0.0625,0.06329608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,124,50000,0.063,0.06379608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,125,50000,0.0635,0.06429608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,126,50000,0.064,0.06479608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,127,50000,0.0645,0.06529608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,128,50000,0.065,0.06579608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,129,50000,0.0655,0.06629608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,130,50000,0.066,0.06679608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,131,50000,0.0665,0.06729608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,132,50000,0.067,0.06779608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,133,50000,0.0675,0.06829608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,134,50000,0.068,0.06879608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,135,50000,0.0685,0.06929608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,136,50000,0.069,0.06979608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,137,50000,0.0695,0.07029608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,138,50000,0.07,0.07079608,0.00079608,true
