experiment,scheme,traffic_pattern,run_id,flow_id,received_bytes,start_time_s,completion_time_s,fct_s,completed
v2-main-static-ocs,static-ocs,community-local,1,120,50000,0.061,0.061549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,121,50000,0.0615,0.062049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,122,50000,0.062,0.062549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,124,50000,0.063,0.063549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,125,50000,0.0635,0.064049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,126,50000,0.064,0.064549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,128,50000,0.065,0.065549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,129,50000,0.0655,0.066049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,130,50000,0.066,0.066549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,132,50000,0.067,0.067549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,133,50000,0.0675,0.068049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,134,50000,0.068,0.068549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,136,50000,0.069,0.069549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,137,50000,0.0695,0.070049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,138,50000,0.07,0.070549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,140,50000,0.071,0.071549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,141,50000,0.0715,0.072049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,142,50000,0.072,0.072549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,144,50000,0.073,0.073549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,145,50000,0.0735,0.074049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,146,50000,0.074,0.074549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,148,50000,0.075,0.075549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,149,50000,0.0755,0.076049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,150,50000,0.076,0.076549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,152,50000,0.077,0.077549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,153,50000,0.0775,0.078049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,154,50000,0.078,0.078549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,156,50000,0.079,0.079549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,157,50000,0.0795,0.080049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,158,50000,0.08,0.080549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,160,50000,0.081,0.081549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,161,50000,0.0815,0.082049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,162,50000,0.082,0.082549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,164,50000,0.083,0.083549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,165,50000,0.0835,0.084049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,166,50000,0.084,0.084549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,168,50000,0.085,0.085549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,169,50000,0.0855,0.086049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,170,50000,0.086,0.086549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,172,50000,0.087,0.087549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,173,50000,0.0875,0.088049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,174,50000,0.088,0.088549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,176,50000,0.089,0.089549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,177,50000,0.0895,0.090049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,178,50000,0.09,0.090549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,180,50000,0.091,0.091549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,181,50000,0.0915,0.092049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,182,50000,0.092,0.092549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,184,50000,0.093,0.093549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,185,50000,0.0935,0.094049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,186,50000,0.094,0.094549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,188,50000,0.095,0.095549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,189,50000,0.0955,0.096049061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,190,50000,0.096,0.096549061,0.000549061,true
v2-main-static-ocs,static-ocs,community-local,1,192,50000,0.097,0.097549061,0.000549061,true
