trafficModel,strategy,offeredLoad,workloadScale,messageSizeBytes,offeredBytes,simulatedBytes,generatedFlows,installableFlows,unservedFlows,installRatio,ocsCoverageOk,installedFlows,completedFlows,incompleteFlows,completionRatio,fullyCompleted,avgFctSeconds,throughputGbps,avgLinkUtilization,logFile,invalid,invalidReason
tensor-community,static-ocs,0.6,0.001,16384,15052800000,15052800,920,920,0,1,true,920,920,0,1,true,0.000596112,2.44654,0.000672307,results/smtra/full/tensor-community__static-ocs__load-0.6__seed-1.log,false,
tensor-community,static-ocs,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.000595373,3.2768,0.000896591,results/smtra/full/tensor-community__static-ocs__load-0.8__seed-1.log,false,
tensor-community,static-ocs,0.9,0.001,16384,22579200000,22579200,1384,1384,0,1,true,1384,1384,0,1,true,0.000595615,3.6832,0.00100844,results/smtra/full/tensor-community__static-ocs__load-0.9__seed-1.log,false,
tensor-community,traffic-greedy,0.2,0.001,16384,5017600000,5017600,312,312,0,1,true,312,312,0,1,true,0.000588853,0.8192,0.000224981,results/smtra/full/tensor-community__traffic-greedy__load-0.2__seed-1.log,false,
tensor-community,traffic-greedy,0.4,0.001,16384,10035200000,10035200,616,616,0,1,true,616,616,0,1,true,0.00059539,1.6384,0.00044997,results/smtra/full/tensor-community__traffic-greedy__load-0.4__seed-1.log,false,
tensor-community,traffic-greedy,0.6,0.001,16384,15052800000,15052800,920,920,0,1,true,920,920,0,1,true,0.000596112,2.44654,0.000674837,results/smtra/full/tensor-community__traffic-greedy__load-0.6__seed-1.log,false,
tensor-community,traffic-greedy,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.000595373,3.2768,0.000899974,results/smtra/full/tensor-community__traffic-greedy__load-0.8__seed-1.log,false,
tensor-community,traffic-greedy,0.9,0.001,16384,22579200000,22579200,1384,1384,0,1,true,1384,1384,0,1,true,0.000595615,3.6832,0.00101224,results/smtra/full/tensor-community__traffic-greedy__load-0.9__seed-1.log,false,
tensor-community,v8,0.2,0.001,16384,5017600000,5017600,312,312,0,1,true,312,312,0,1,true,0.000588853,0.8192,0.00024921,results/smtra/full/tensor-community__v8__load-0.2__seed-1.log,false,
tensor-community,v8,0.4,0.001,16384,10035200000,10035200,616,616,0,1,true,616,616,0,1,true,0.00059539,1.6384,0.000498429,results/smtra/full/tensor-community__v8__load-0.4__seed-1.log,false,
tensor-community,v8,0.6,0.001,16384,15052800000,15052800,920,920,0,1,true,920,920,0,1,true,0.000596112,2.44654,0.000747512,results/smtra/full/tensor-community__v8__load-0.6__seed-1.log,false,
tensor-community,v8,0.8,0.001,16384,20070400000,20070400,1232,1232,0,1,true,1232,1232,0,1,true,0.000595373,3.2768,0.000996894,results/smtra/full/tensor-community__v8__load-0.8__seed-1.log,false,
tensor-community,v8,0.9,0.001,16384,22579200000,22579200,1384,1384,0,1,true,1384,1384,0,1,true,0.000595615,3.6832,0.00112125,results/smtra/full/tensor-community__v8__load-0.9__seed-1.log,false,
