scenario,seed,offered_load_factor,drain_label,candidate_id,selected_edges,edge_count,candidate_count,selected_for_evaluation,selection_reason
cross-community-distractor-replay,1401,0.5,D3,cand0131,0-7;4-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0132,0-7;4-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0133,0-7;5-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0134,1-2;3-4,2,764,false,high-impact-edge-pool|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0135,1-2;3-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0136,1-2;3-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0137,1-2;3-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0138,1-2;4-5,2,764,false,high-impact-edge-pool|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0139,1-2;4-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0140,1-2;4-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0141,1-2;5-6,2,764,false,high-impact-edge-pool|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0142,1-2;5-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0143,1-2;6-7,2,764,false,high-impact-edge-pool|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0144,1-3;2-4,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0145,1-3;2-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0146,1-3;2-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0147,1-3;2-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0148,1-3;4-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0149,1-3;4-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0150,1-3;4-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0151,1-3;5-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0152,1-3;5-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0153,1-3;6-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0154,1-4;2-3,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0155,1-4;2-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0156,1-4;2-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0157,1-4;2-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0158,1-4;3-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0159,1-4;3-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0160,1-4;3-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0161,1-4;5-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0162,1-4;5-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0163,1-4;6-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0164,1-5;2-3,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0165,1-5;2-4,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0166,1-5;2-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0167,1-5;2-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0168,1-5;3-4,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0169,1-5;3-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0170,1-5;3-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0171,1-5;4-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0172,1-5;4-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0173,1-5;6-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0174,1-6;2-3,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0175,1-6;2-4,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0176,1-6;2-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0177,1-6;2-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0178,1-6;3-4,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0179,1-6;3-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0180,1-6;3-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0181,1-6;4-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0182,1-6;4-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0183,1-6;5-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0184,1-7;2-3,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0185,1-7;2-4,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0186,1-7;2-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0187,1-7;2-6,2,764,false,not-selected
